quote,author,tags
i would venture to guess that anon who wrote so many poems without signing them was often a woman,virginia woolf,['women']
some infinities are bigger than other infinities,john green,"['infinity', 'johngreen', 'life', 'tfios', 'thefaultinourstars']"
do one thing every day that scares you,eleanor roosevelt,"['attributed', 'fear', 'inspiration']"
it is what you read when you dont have to that determines what you will be when you cant help it,oscar wilde,"['books', 'reading']"
the trouble with having an open mind of course is that people will insist on coming along and trying to put things in it,terry pratchett,"['humor', 'openmind', 'thinking']"
if i had a flower for every time i thought of youi could walk through my garden forever,alfred tennyson,"['friendship', 'love']"
one must always be careful of books said tessa and what is inside them for words have the power to change us,cassandra clare,['books']
not all those who wander are lost,jrr tolkien,"['bilbo', 'journey', 'lost', 'quest', 'travel', 'wander']"
time you enjoy wasting is not wasted time,marthe trolycurtin,"['happiness', 'misattributedjohnlennon', 'procrastination', 'time']"
reality continues to ruin my life,bill watterson,"['calvinandhobbes', 'humor', 'life']"
things change and friends leave life doesnt stop for anybody,stephen chbosky,"['change', 'life']"
there is no pretending jace said with absolute clarity i love you and i will love you until i die and if there is life after that ill love you then,cassandra clare,"['mortalinstruments', 'romance', 'teenfantasy']"
who are you to judge the life i livei know im not perfectand i dont live to bebut before you start pointing fingersmake sure you hands are clean,bob marley,"['judge', 'life', 'live', 'perfection']"
the real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space,marilyn monroe,['love']
if theres a book that you want to read but it hasnt been written yet then you must write it,toni morrison,"['books', 'writing']"
piglet sidled up to pooh from behind pooh he whisperedyes pigletnothing said piglet taking poohs paw i just wanted to be sure of you,aa milne,"['friendship', 'piglet', 'pooh', 'reassurance']"
to love at all is to be vulnerable love anything and your heart will be wrung and possibly broken if you want to make sure of keeping it intact you must give it to no one not even an animal wrap it carefully round with hobbies and little luxuries avoid all entanglements lock it up safe in the casket or coffin of your selfishness but in that casket safe dark motionless airless it will change it will not be broken it will become unbreakable impenetrable irredeemable to love is to be vulnerable,cs lewis,['love']
the only way out of the labyrinth of suffering is to forgive,john green,"['compassion', 'life', 'suffering']"
hes like a drug for you bella,stephenie meyer,"['drug', 'romance', 'simile']"
do not pity the dead harry pity the living and above all those who live without love,jk rowling,['livedeathlove']
the reason i talk to myself is because im the only one whose answers i accept,george carlin,"['humor', 'insanity', 'lies', 'lying', 'selfindulgence', 'truth']"
a wise girl kisses but doesnt love listens but doesnt believe and leaves before she is left,marilyn monroe,[]
go to heaven for the climate and hell for the company,benjamin franklin wade,"['humor', 'misattributedmarktwain', 'philosophy', 'theology']"
i wish it need not have happened in my time said frodoso do i said gandalf and so do all who live to see such times but that is not for them to decide all we have to decide is what to do with the time that is given us,jrr tolkien,"['adventuring', 'death', 'time']"
when someone loves you the way they talk about you is different you feel safe and comfortable,jess c scott,"['desire', 'emotion', 'friendship', 'honesty', 'imagination', 'individuality', 'life', 'love', 'passion', 'reality', 'relationships', 'romance', 'truth', 'wisdom', 'wisewords']"
